cik,tic,Shortname,Longname,Sector,Industry,Stock_Change%,Year,Sentiment_Score
63908.0,MCD,McDonald's Corporation,McDonald's Corporation,Consumer Cyclical,Restaurants,10.497912292487976,2022,0.0
64040.0,SPGI,S&P Global Inc.,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,-9.309628259238831,2022,-0.161559522151947
927653.0,MCK,McKesson Corporation,McKesson Corporation,Healthcare,Medical Distribution,66.2540839139445,2022,-0.5612550377845764
1613103.0,MDT,Medtronic plc.,Medtronic plc,Healthcare,Medical Devices,-20.822913078741056,2022,-0.5184269547462463
64803.0,CVS,CVS Health Corporation,CVS Health Corporation,Healthcare,Healthcare Plans,22.78772912151989,2022,-0.1242017894983291
310158.0,MRK,"Merck & Company, Inc.","Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,22.43003353607309,2022,-0.6385511755943298
723125.0,MU,"Micron Technology, Inc.","Micron Technology, Inc.",Technology,Semiconductors,-17.255322923141524,2022,-0.141077846288681
65984.0,ETR,Entergy Corporation,Entergy Corporation,Utilities,Utilities - Regulated Electric,13.515433460853998,2022,-0.9458385705947876
66740.0,MMM,3M Company,3M Company,Industrials,Conglomerates,-23.340567124051248,2022,-0.3994355797767639
68505.0,MSI,"Motorola Solutions, Inc.","Motorola Solutions, Inc.",Technology,Communication Equipment,9.821381489688829,2022,-0.0367706567049026
1792044.0,VTRS,Viatris Inc.,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,-21.21676863275585,2022,-0.1651466339826584
70858.0,BAC,Bank of America Corporation,Bank of America Corporation,Financial Services,Banks - Diversified,-6.113617550864959,2022,-0.6723954677581787
1164727.0,NEM,Newmont Corporation,Newmont Corporation,Basic Materials,Gold,-2.160689008723282,2022,-0.6701647043228149
320187.0,NKE,"Nike, Inc.","NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,-21.931947688355493,2022,-0.0736538395285606
72331.0,NDSN,Nordson Corporation,Nordson Corporation,Industrials,Specialty Industrial Machinery,0.9346449317297444,2022,-0.2159490585327148
702165.0,NSC,Norfolk Southern Corporation,Norfolk Southern Corporation,Industrials,Railroads,-4.754425086635273,2022,-0.1353405714035034
72741.0,ES,Eversource Energy (D/B/A),Eversource Energy,Utilities,Utilities - Regulated Electric,2.8234700411077007,2022,-0.415631502866745
1111711.0,NI,NiSource Inc,NiSource Inc.,Utilities,Utilities - Regulated Gas,20.76925317927798,2022,-0.8282681107521057
72903.0,XEL,Xcel Energy Inc.,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,8.619849091035746,2022,-0.0025773271918296
73124.0,NTRS,Northern Trust Corporation,Northern Trust Corporation,Financial Services,Asset Management,-6.445173129323834,2022,-0.7299901843070984
1133421.0,NOC,Northrop Grumman Corporation,Northrop Grumman Corporation,Industrials,Aerospace & Defense,36.10157407967569,2022,-0.3116109669208526
72971.0,WFC,Wells Fargo & Company,Wells Fargo & Company,Financial Services,Banks - Diversified,6.698535171383546,2022,-0.0054954383522272
73309.0,NUE,Nucor Corporation,Nucor Corporation,Basic Materials,Steel,42.10329416175546,2022,-0.3945803046226501
797468.0,OXY,Occidental Petroleum Corporatio,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,117.36693969929544,2022,-0.5993069410324097
1031296.0,FE,FirstEnergy Corp.,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,15.90791978014934,2022,-0.4664362370967865
1039684.0,OKE,"ONEOK, Inc.","ONEOK, Inc.",Energy,Oil & Gas Midstream,23.37876421781102,2022,-0.851380467414856
713676.0,PNC,"PNC Financial Services Group, I","The PNC Financial Services Group, Inc.",Financial Services,Banks - Regional,-5.179372526426573,2022,-0.2751222848892212
79879.0,PPG,"PPG Industries, Inc.","PPG Industries, Inc.",Basic Materials,Specialty Chemicals,-17.64126752160493,2022,-0.7895565629005432
75362.0,PCAR,PACCAR Inc.,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,5.085839523906199,2022,-0.9307299256324768
